internalTaxonId,conservationNeededCode,conservationNeededName
180528744,1.1,Site/area protection
180528744,2.1,Site/area management
17862,1.1,Site/area protection
166908,4.3,Awareness & communications
166908,2.1,Site/area management
166908,1.1,Site/area protection
188554,1.1,Site/area protection
188554,3.1.1,Harvest management
188554,3.1.2,Trade management
188565,1.1,Site/area protection
188582,3.1.1,Harvest management
188582,3.1.2,Trade management
188582,1.1,Site/area protection
193728,3.1.2,Trade management
193728,3.1.1,Harvest management
175371,2.1,Site/area management
56280,1.2,Resource & habitat protection
56280,1.1,Site/area protection
39393,3.1.1,Harvest management
39393,1.1,Site/area protection
39393,5.1.2,National level
39393,3.1.2,Trade management
39393,3.2,Species recovery
39393,5.4.2,National level
39390,5.1.2,National level
39390,3.1.2,Trade management
39390,1.1,Site/area protection
39390,3.1.1,Harvest management
39390,3.2,Species recovery
39390,5.4.2,National level
39390,4.2,Training
73743179,2.3,Habitat & natural process restoration
73743179,2.1,Site/area management
73743179,4.3,Awareness & communications
73743179,1.1,Site/area protection
15987,1.1,Site/area protection
15987,4.3,Awareness & communications
60134,3.1.1,Harvest management
60134,3.2,Species recovery
60134,5.1.2,National level
30900,3.4.2,Genome resource bank
30900,1.2,Resource & habitat protection
30900,3.4.1,Captive breeding/artificial propagation
133027,3.2,Species recovery
133027,3.4.1,Captive breeding/artificial propagation
133027,3.4.2,Genome resource bank
133027,2.1,Site/area management
133027,1.1,Site/area protection
133027,2.3,Habitat & natural process restoration
133141,1.1,Site/area protection
133141,2.3,Habitat & natural process restoration
133141,3.4.2,Genome resource bank
133141,2.1,Site/area management
133141,3.4.1,Captive breeding/artificial propagation
133141,3.2,Species recovery
133237,2.1,Site/area management
133237,3.4.2,Genome resource bank
133237,3.2,Species recovery
133237,3.4.1,Captive breeding/artificial propagation
133237,1.1,Site/area protection
133237,2.3,Habitat & natural process restoration
133395,2.3,Habitat & natural process restoration
133395,3.4.2,Genome resource bank
133395,2.1,Site/area management
133395,3.4.1,Captive breeding/artificial propagation
133395,3.2,Species recovery
133395,1.1,Site/area protection
133476,2.3,Habitat & natural process restoration
133476,1.1,Site/area protection
133476,2.1,Site/area management
133476,3.4.2,Genome resource bank
133476,3.2,Species recovery
133476,3.4.1,Captive breeding/artificial propagation
133594,2.3,Habitat & natural process restoration
133594,1.1,Site/area protection
133594,2.1,Site/area management
133594,3.4.2,Genome resource bank
133594,3.2,Species recovery
133594,3.4.1,Captive breeding/artificial propagation
133596,3.4.1,Captive breeding/artificial propagation
133596,3.4.2,Genome resource bank
133596,3.2,Species recovery
133596,2.1,Site/area management
133596,1.1,Site/area protection
133596,2.3,Habitat & natural process restoration
169783460,2.1,Site/area management
169783489,1.2,Resource & habitat protection
169783489,4.1,Formal education
169783489,4.3,Awareness & communications
169783489,5.1.2,National level
169783489,5.4.3,Sub-national level
22714696,1.1,Site/area protection
22714696,5.1.1,International level
22714696,3.3.1,Reintroduction
22714696,2.3,Habitat & natural process restoration
184746,1.1,Site/area protection
22713957,3.2,Species recovery
22713957,4.3,Awareness & communications
22713957,6.1,Linked enterprises & livelihood alternatives
22713957,2.1,Site/area management
22713957,2.3,Habitat & natural process restoration
14569,2.1,Site/area management
22680252,1.1,Site/area protection
22680252,2.1,Site/area management
44782,1.1,Site/area protection
44782,2.1,Site/area management
44782,3.1.1,Harvest management
44782,4.1,Formal education
44782,4.2,Training
44782,4.3,Awareness & communications
44782,1.2,Resource & habitat protection
44782,5.4.2,National level
44782,5.4.3,Sub-national level
44782,2.3,Habitat & natural process restoration
22680339,4.3,Awareness & communications
22680339,2.1,Site/area management
22680339,1.1,Site/area protection
22715162,1.1,Site/area protection
211665334,5.1.1,International level
22728020,2.1,Site/area management
22714454,1.2,Resource & habitat protection
22679881,1.1,Site/area protection
22679881,5.1.2,National level
22679881,2.1,Site/area management
216617275,3.2,Species recovery
216617275,1.1,Site/area protection
216617275,4.3,Awareness & communications
216617275,1.2,Resource & habitat protection
216617275,6.1,Linked enterprises & livelihood alternatives
216617275,2.1,Site/area management
216617275,2.3,Habitat & natural process restoration
22714757,2.3,Habitat & natural process restoration
177945543,1.1,Site/area protection
177945543,4.3,Awareness & communications
177945543,1.2,Resource & habitat protection
216556469,2.1,Site/area management
189958719,1.1,Site/area protection
189959900,1.1,Site/area protection
189959900,1.2,Resource & habitat protection
189959900,2.1,Site/area management
189959900,4.3,Awareness & communications
189958099,1.1,Site/area protection
189958099,1.2,Resource & habitat protection
189958099,2.1,Site/area management
189958099,4.3,Awareness & communications
216557227,2.1,Site/area management
218582764,4.2,Training
218582764,1.1,Site/area protection
218582764,4.1,Formal education
218582764,4.3,Awareness & communications
218582764,5.1.2,National level
218582764,5.4.3,Sub-national level
218582764,6.1,Linked enterprises & livelihood alternatives
218582764,6.2,Substitution
218582764,6.4,Conservation payments
218582764,6.5,Non-monetary values
218582764,2.1,Site/area management
219176408,1.2,Resource & habitat protection
219176408,2.1,Site/area management
219176408,4.3,Awareness & communications
216912644,1.1,Site/area protection
177562,3.4.1,Captive breeding/artificial propagation
177562,5.1.1,International level
177562,5.1.2,National level
177562,5.2,Policies and regulations
177562,5.3,Private sector standards & codes
177562,5.4.1,International level
177562,5.4.2,National level
79011543,4.3,Awareness & communications
79011543,4.1,Formal education
79011543,3.4.2,Genome resource bank
79011543,4.2,Training
92488656,3.1.2,Trade management
92488656,3.1.1,Harvest management
92488656,1.1,Site/area protection
92488656,4.3,Awareness & communications
92488656,5.1.2,National level
92488656,5.1.3,Sub-national level
92488656,5.3,Private sector standards & codes
92488656,5.4.2,National level
92488656,5.4.3,Sub-national level
92488656,6.1,Linked enterprises & livelihood alternatives
92488656,2.1,Site/area management
92488692,4.3,Awareness & communications
92488692,5.1.2,National level
92488692,5.4.2,National level
92488692,5.4.3,Sub-national level
92488692,2.1,Site/area management
4224,3.1.1,Harvest management
4224,3.1.2,Trade management
4224,1.1,Site/area protection
4224,4.3,Awareness & communications
4224,5.1.2,National level
4224,5.3,Private sector standards & codes
4224,5.4.2,National level
4224,5.4.3,Sub-national level
4224,2.1,Site/area management
136877,3.1.1,Harvest management
136877,2.1,Site/area management
181008073,5.1.1,International level
181008073,3.1.1,Harvest management
181008073,3.1.2,Trade management
181008073,3.1.3,Limiting population growth
181008073,5.4.3,Sub-national level
181008073,3.2,Species recovery
181008073,1.2,Resource & habitat protection
181008073,1.1,Site/area protection
181008073,5.4.1,International level
181008073,2.1,Site/area management
181008073,6.1,Linked enterprises & livelihood alternatives
181008073,4.1,Formal education
181008073,4.2,Training
181008073,5.4.2,National level
181008073,4.3,Awareness & communications
181008073,5.1.2,National level
181008073,5.1.3,Sub-national level
147861887,4.3,Awareness & communications
147861887,1.2,Resource & habitat protection
147861887,1.1,Site/area protection
128045281,3.4.2,Genome resource bank
202812,3.4.2,Genome resource bank
202812,2.1,Site/area management
30522,3.4.1,Captive breeding/artificial propagation
30522,3.4.2,Genome resource bank
30522,4.3,Awareness & communications
30522,1.2,Resource & habitat protection
30522,2.2,Invasive/problematic species control
30522,2.3,Habitat & natural process restoration
21751,1.1,Site/area protection
21751,4.3,Awareness & communications
21751,2.1,Site/area management
168623067,3.4.1,Captive breeding/artificial propagation
168623067,3.4.2,Genome resource bank
169784342,4.3,Awareness & communications
169784342,5.4.3,Sub-national level
169784342,5.4.2,National level
169784342,2.3,Habitat & natural process restoration
172316918,4.3,Awareness & communications
172316918,1.2,Resource & habitat protection
176584058,1.1,Site/area protection
176584058,4.3,Awareness & communications
176584058,3.4.1,Captive breeding/artificial propagation
176584058,3.4.2,Genome resource bank
176584058,5.1.2,National level
176584058,1.2,Resource & habitat protection
176584058,5.3,Private sector standards & codes
176584058,5.4.2,National level
176584058,2.1,Site/area management
184698,5.1.4,Scale unspecified
184698,2.1,Site/area management
2752,2.1,Site/area management
192081353,3.4.1,Captive breeding/artificial propagation
192081353,3.4.2,Genome resource bank
192081353,1.1,Site/area protection
192081353,4.3,Awareness & communications
205017210,3.4.2,Genome resource bank
205017210,1.1,Site/area protection
216664506,3.4.2,Genome resource bank
216664506,2.1,Site/area management
147861752,1.2,Resource & habitat protection
147861752,4.3,Awareness & communications
147861752,1.1,Site/area protection
147865011,1.2,Resource & habitat protection
147865011,1.1,Site/area protection
147866554,1.1,Site/area protection
147866554,1.2,Resource & habitat protection
147868145,1.1,Site/area protection
147868145,3.4.2,Genome resource bank
147868777,1.2,Resource & habitat protection
147869170,1.1,Site/area protection
147869170,2.1,Site/area management
147869170,3.4.2,Genome resource bank
32641,3.4.2,Genome resource bank
34385,3.4.2,Genome resource bank
34388,3.4.2,Genome resource bank
34392,3.4.2,Genome resource bank
34398,3.4.2,Genome resource bank
128045978,3.4.2,Genome resource bank
128046685,6.2,Substitution
128046685,3.4.1,Captive breeding/artificial propagation
128046685,3.4.2,Genome resource bank
128046685,4.3,Awareness & communications
110689964,3.4.1,Captive breeding/artificial propagation
110689964,1.1,Site/area protection
110689964,3.4.2,Genome resource bank
110710566,3.4.1,Captive breeding/artificial propagation
110710566,3.4.2,Genome resource bank
110710566,1.1,Site/area protection
120962703,1.1,Site/area protection
120962703,4.3,Awareness & communications
120962703,1.2,Resource & habitat protection
120962703,2.1,Site/area management
120962703,2.3,Habitat & natural process restoration
120962703,3.4.2,Genome resource bank
158297632,2.3,Habitat & natural process restoration
158297632,4.3,Awareness & communications
158297632,4.2,Training
158297632,5.1.2,National level
158297632,5.1.3,Sub-national level
160571530,3.4.1,Captive breeding/artificial propagation
162639609,4.3,Awareness & communications
162640130,1.1,Site/area protection
162640130,5.1.3,Sub-national level
162640130,1.2,Resource & habitat protection
162640130,2.1,Site/area management
162640130,2.2,Invasive/problematic species control
162640130,2.3,Habitat & natural process restoration
162640130,3.2,Species recovery
162640130,4.3,Awareness & communications
62113,2.1,Site/area management
62113,2.2,Invasive/problematic species control
62113,1.1,Site/area protection
62113,2.3,Habitat & natural process restoration
168622547,3.4.1,Captive breeding/artificial propagation
168622547,3.4.2,Genome resource bank
172317051,1.1,Site/area protection
172317051,1.2,Resource & habitat protection
172317051,2.1,Site/area management
158178452,1.2,Resource & habitat protection
174400058,1.1,Site/area protection
174400058,1.2,Resource & habitat protection
187005320,1.1,Site/area protection
187005320,4.3,Awareness & communications
187005320,1.2,Resource & habitat protection
192555788,1.1,Site/area protection
192555788,4.3,Awareness & communications
192555788,1.2,Resource & habitat protection
192556654,1.1,Site/area protection
192556654,4.3,Awareness & communications
192556654,1.2,Resource & habitat protection
174451345,3.4.1,Captive breeding/artificial propagation
174451345,1.1,Site/area protection
174451345,4.3,Awareness & communications
174451345,5.1.2,National level
174451345,1.2,Resource & habitat protection
174451345,5.3,Private sector standards & codes
174451345,5.4.2,National level
174451345,2.1,Site/area management
147862991,4.3,Awareness & communications
147862991,3.4.2,Genome resource bank
147862991,1.1,Site/area protection
147864926,4.3,Awareness & communications
147864926,1.2,Resource & habitat protection
147864926,1.1,Site/area protection
147868137,3.4.2,Genome resource bank
147868137,1.1,Site/area protection
147868198,3.4.2,Genome resource bank
147868198,1.1,Site/area protection
147869082,1.2,Resource & habitat protection
147869082,4.3,Awareness & communications
35164,3.4.2,Genome resource bank
128044164,3.4.2,Genome resource bank
128046082,3.4.1,Captive breeding/artificial propagation
128046082,3.4.2,Genome resource bank
65603537,1.1,Site/area protection
65603537,3.4.2,Genome resource bank
158297383,4.2,Training
158297383,4.3,Awareness & communications
160921,1.1,Site/area protection
172306452,3.2,Species recovery
172306452,3.4.2,Genome resource bank
172306452,4.3,Awareness & communications
172306452,5.1.2,National level
172306452,6.1,Linked enterprises & livelihood alternatives
172306452,2.1,Site/area management
172310040,4.1,Formal education
172310040,4.2,Training
172310040,4.3,Awareness & communications
172310040,5.1.2,National level
172310040,5.2,Policies and regulations
172310040,3.4.2,Genome resource bank
184424077,4.3,Awareness & communications
184424077,2.1,Site/area management
192080506,3.4.1,Captive breeding/artificial propagation
192080506,3.4.2,Genome resource bank
192080506,1.1,Site/area protection
192080506,4.3,Awareness & communications
192556681,1.1,Site/area protection
192556681,4.3,Awareness & communications
192556681,1.2,Resource & habitat protection
32158,3.4.2,Genome resource bank
32158,6.1,Linked enterprises & livelihood alternatives
32158,2.3,Habitat & natural process restoration
32158,1.1,Site/area protection
196881734,1.1,Site/area protection
196881734,2.1,Site/area management
197834727,3.4.2,Genome resource bank
197834727,6.1,Linked enterprises & livelihood alternatives
197834727,2.3,Habitat & natural process restoration
205994368,3.4.2,Genome resource bank
205994368,1.1,Site/area protection
205994368,2.1,Site/area management
208376757,3.4.2,Genome resource bank
215409768,1.1,Site/area protection
215416080,3.4.1,Captive breeding/artificial propagation
215416080,3.4.2,Genome resource bank
215409536,2.1,Site/area management
216664451,3.4.2,Genome resource bank
216664451,1.1,Site/area protection
216664451,4.3,Awareness & communications
218326456,3.4.2,Genome resource bank
218326456,1.1,Site/area protection
218326456,2.1,Site/area management
201359,3.4.1,Captive breeding/artificial propagation
201359,1.1,Site/area protection
147863737,1.2,Resource & habitat protection
147863737,2.3,Habitat & natural process restoration
147868241,1.2,Resource & habitat protection
147868640,1.1,Site/area protection
147868640,1.2,Resource & habitat protection
147868848,4.3,Awareness & communications
147868848,1.1,Site/area protection
147868848,1.2,Resource & habitat protection
34384,2.1,Site/area management
34384,3.4.2,Genome resource bank
34438,3.4.2,Genome resource bank
128045355,3.4.2,Genome resource bank
128045642,3.4.2,Genome resource bank
128045847,3.4.2,Genome resource bank
61919311,3.1.1,Harvest management
132520865,1.1,Site/area protection
132520865,4.3,Awareness & communications
132520865,1.2,Resource & habitat protection
132520865,2.1,Site/area management
4564,4.3,Awareness & communications
4564,5.1.3,Sub-national level
216665023,3.4.2,Genome resource bank
216665023,1.1,Site/area protection
216665023,2.1,Site/area management
137469436,3.4.2,Genome resource bank
137469436,1.2,Resource & habitat protection
137469436,1.1,Site/area protection
137469436,4.3,Awareness & communications
137469436,5.2,Policies and regulations
137469436,5.4.2,National level
137469436,5.4.3,Sub-national level
137469436,3.1.1,Harvest management
137469436,3.2,Species recovery
137469436,4.1,Formal education
137469436,4.2,Training
137469436,5.1.2,National level
137469436,5.1.3,Sub-national level
137469436,5.1.4,Scale unspecified
137469436,6.2,Substitution
137469436,6.4,Conservation payments
147862495,1.2,Resource & habitat protection
147862495,1.1,Site/area protection
147863590,2.3,Habitat & natural process restoration
147863590,2.1,Site/area management
147863590,1.1,Site/area protection
147863590,4.3,Awareness & communications
147865004,1.2,Resource & habitat protection
147865004,1.1,Site/area protection
147867239,4.3,Awareness & communications
147867239,1.2,Resource & habitat protection
147868359,1.2,Resource & habitat protection
147868937,1.2,Resource & habitat protection
147868937,1.1,Site/area protection
147869002,1.2,Resource & habitat protection
147869002,4.3,Awareness & communications
147869002,1.1,Site/area protection
128044736,3.4.2,Genome resource bank
128048544,3.4.1,Captive breeding/artificial propagation
128048544,3.4.2,Genome resource bank
173480,3.3.1,Reintroduction
173480,2.1,Site/area management
173480,2.2,Invasive/problematic species control
30523,3.4.1,Captive breeding/artificial propagation
30523,3.4.2,Genome resource bank
30523,4.3,Awareness & communications
30523,1.2,Resource & habitat protection
30523,2.2,Invasive/problematic species control
30523,2.3,Habitat & natural process restoration
87719782,1.1,Site/area protection
87719782,3.4.2,Genome resource bank
110084419,3.4.2,Genome resource bank
110084419,1.1,Site/area protection
110084419,2.1,Site/area management
110717812,3.4.1,Captive breeding/artificial propagation
110717812,3.4.2,Genome resource bank
32730,3.2,Species recovery
32730,1.1,Site/area protection
32730,4.3,Awareness & communications
32730,1.2,Resource & habitat protection
32730,6.1,Linked enterprises & livelihood alternatives
32730,2.1,Site/area management
32730,2.3,Habitat & natural process restoration
6076,4.3,Awareness & communications
6076,5.1.2,National level
6076,5.1.3,Sub-national level
2039,3.4.1,Captive breeding/artificial propagation
2039,4.3,Awareness & communications
2039,5.1.2,National level
2039,1.2,Resource & habitat protection
2039,2.2,Invasive/problematic species control
2039,5.4.2,National level
62080,2.2,Invasive/problematic species control
62080,4.3,Awareness & communications
62080,1.2,Resource & habitat protection
62080,2.1,Site/area management
883,1.1,Site/area protection
17864,1.1,Site/area protection
17864,2.2,Invasive/problematic species control
17864,2.1,Site/area management
169783297,4.3,Awareness & communications
169783297,1.2,Resource & habitat protection
169783297,2.3,Habitat & natural process restoration
172307632,1.1,Site/area protection
172307632,4.3,Awareness & communications
172307679,4.3,Awareness & communications
172307679,1.2,Resource & habitat protection
172307679,2.1,Site/area management
172316828,1.1,Site/area protection
172316828,4.3,Awareness & communications
172316828,1.2,Resource & habitat protection
172316828,2.1,Site/area management
172316828,2.3,Habitat & natural process restoration
177945524,1.1,Site/area protection
177945524,4.3,Awareness & communications
177945524,1.2,Resource & habitat protection
205994083,3.4.2,Genome resource bank
205994083,1.2,Resource & habitat protection
216664782,3.4.2,Genome resource bank
216664782,2.1,Site/area management
216665039,3.4.2,Genome resource bank
216665039,1.1,Site/area protection
216665039,2.1,Site/area management
216665055,3.4.2,Genome resource bank
216665055,1.1,Site/area protection
216665055,2.1,Site/area management
137469064,4.2,Training
137469064,3.4.2,Genome resource bank
137469064,4.1,Formal education
137469064,4.3,Awareness & communications
137469064,5.1.2,National level
137469064,5.2,Policies and regulations
137469064,5.3,Private sector standards & codes
137469064,3.2,Species recovery
137469064,3.4.1,Captive breeding/artificial propagation
137469064,1.1,Site/area protection
137469064,5.1.3,Sub-national level
137469064,1.2,Resource & habitat protection
137469064,2.1,Site/area management
137469064,2.2,Invasive/problematic species control
137469064,5.4.2,National level
137469064,5.4.3,Sub-national level
147861917,4.3,Awareness & communications
147861917,1.1,Site/area protection
147861917,1.2,Resource & habitat protection
147868269,1.2,Resource & habitat protection
147868269,1.1,Site/area protection
34653,3.4.2,Genome resource bank
128044099,3.4.2,Genome resource bank
128045953,3.4.2,Genome resource bank
128048575,3.4.1,Captive breeding/artificial propagation
128048575,3.4.2,Genome resource bank
128048676,3.4.2,Genome resource bank
128048676,3.4.1,Captive breeding/artificial propagation
30539,3.4.1,Captive breeding/artificial propagation
30539,3.1.1,Harvest management
30539,3.2,Species recovery
30539,1.1,Site/area protection
30539,4.1,Formal education
30539,4.2,Training
30539,4.3,Awareness & communications
30539,1.2,Resource & habitat protection
30539,6.2,Substitution
30539,2.2,Invasive/problematic species control
30539,2.3,Habitat & natural process restoration
109200543,3.4.2,Genome resource bank
109200543,2.1,Site/area management
32732,3.2,Species recovery
32732,4.3,Awareness & communications
32732,1.2,Resource & habitat protection
32732,6.1,Linked enterprises & livelihood alternatives
32732,2.1,Site/area management
32732,2.3,Habitat & natural process restoration
120960986,1.1,Site/area protection
120960986,4.3,Awareness & communications
120960986,1.2,Resource & habitat protection
158477044,3.2,Species recovery
158477044,3.3.1,Reintroduction
158477044,1.1,Site/area protection
158477044,4.3,Awareness & communications
158477044,3.4.1,Captive breeding/artificial propagation
160572911,1.1,Site/area protection
162639390,3.2,Species recovery
162639390,1.1,Site/area protection
162639390,1.2,Resource & habitat protection
162639390,2.1,Site/area management
162639390,2.2,Invasive/problematic species control
162639390,2.3,Habitat & natural process restoration
162639390,3.4.1,Captive breeding/artificial propagation
22149,2.1,Site/area management
22149,2.2,Invasive/problematic species control
168298443,4.3,Awareness & communications
17861,1.1,Site/area protection
17861,2.2,Invasive/problematic species control
17861,2.3,Habitat & natural process restoration
17861,2.1,Site/area management
174470327,3.2,Species recovery
174470327,3.4.1,Captive breeding/artificial propagation
174470327,1.1,Site/area protection
174470327,4.3,Awareness & communications
174470327,5.1.2,National level
174470327,1.2,Resource & habitat protection
174470327,5.3,Private sector standards & codes
174470327,5.4.2,National level
174470327,2.1,Site/area management
194659068,1.1,Site/area protection
198161555,3.4.1,Captive breeding/artificial propagation
198161555,3.4.2,Genome resource bank
205994154,3.4.2,Genome resource bank
205994154,2.1,Site/area management
216664831,3.4.2,Genome resource bank
216664831,1.1,Site/area protection
216664831,2.1,Site/area management
218326634,3.4.2,Genome resource bank
218326634,2.1,Site/area management
218326658,3.4.2,Genome resource bank
218326658,2.1,Site/area management
34884,3.4.2,Genome resource bank
34884,3.4.1,Captive breeding/artificial propagation
34884,4.1,Formal education
34884,4.2,Training
34884,4.3,Awareness & communications
34884,5.2,Policies and regulations
34884,5.3,Private sector standards & codes
34884,1.1,Site/area protection
34884,5.1.2,National level
34884,5.1.3,Sub-national level
34884,5.1.4,Scale unspecified
34884,1.2,Resource & habitat protection
34884,6.2,Substitution
34884,6.5,Non-monetary values
34884,2.1,Site/area management
201325,4.3,Awareness & communications
201325,1.1,Site/area protection
201325,1.2,Resource & habitat protection
147862317,4.3,Awareness & communications
147862317,1.2,Resource & habitat protection
147862317,1.1,Site/area protection
147863444,1.1,Site/area protection
147863444,1.2,Resource & habitat protection
147863444,4.3,Awareness & communications
147864310,1.2,Resource & habitat protection
147864310,4.3,Awareness & communications
147864310,1.1,Site/area protection
147867438,1.1,Site/area protection
147867438,1.2,Resource & habitat protection
147867438,4.3,Awareness & communications
147868280,1.1,Site/area protection
147868280,1.2,Resource & habitat protection
147869034,4.3,Awareness & communications
147869034,1.2,Resource & habitat protection
147869034,1.1,Site/area protection
34395,3.4.2,Genome resource bank
62462,3.4.2,Genome resource bank
62462,3.4.1,Captive breeding/artificial propagation
128044306,3.4.2,Genome resource bank
128045051,3.4.2,Genome resource bank
128045255,3.4.2,Genome resource bank
128045378,1.1,Site/area protection
128045378,4.3,Awareness & communications
128045378,1.2,Resource & habitat protection
128045378,3.4.2,Genome resource bank
62019830,6.2,Substitution
62019830,4.3,Awareness & communications
62019830,4.1,Formal education
62019830,1.1,Site/area protection
38244,3.4.1,Captive breeding/artificial propagation
38244,3.4.2,Genome resource bank
38244,1.1,Site/area protection
38244,4.3,Awareness & communications
38244,1.2,Resource & habitat protection
38244,5.2,Policies and regulations
223091475,3.1.2,Trade management
223091475,3.4.2,Genome resource bank
98248633,1.2,Resource & habitat protection
98248633,1.1,Site/area protection
98248633,3.4.2,Genome resource bank
110083511,1.1,Site/area protection
110083511,3.4.2,Genome resource bank
110083511,2.1,Site/area management
62116,2.2,Invasive/problematic species control
162641393,1.1,Site/area protection
162641393,4.3,Awareness & communications
162641393,5.1.3,Sub-national level
162641393,6.1,Linked enterprises & livelihood alternatives
162641393,2.1,Site/area management
162641393,2.2,Invasive/problematic species control
162641393,2.3,Habitat & natural process restoration
174406939,4.3,Awareness & communications
174406939,5.1.2,National level
174406939,5.3,Private sector standards & codes
212210928,1.1,Site/area protection
212210928,5.4.2,National level
216247781,3.4.2,Genome resource bank
216247781,1.1,Site/area protection
220542602,3.1.2,Trade management
220542602,3.4.2,Genome resource bank
220542602,5.2,Policies and regulations
220542602,5.4.1,International level
220542602,5.4.2,National level
220542602,5.4.3,Sub-national level
34390,3.3.1,Reintroduction
34390,3.4.2,Genome resource bank
34396,3.4.2,Genome resource bank
34396,2.1,Site/area management
36466,3.4.2,Genome resource bank
157989,3.4.1,Captive breeding/artificial propagation
157989,3.4.2,Genome resource bank
157989,6.2,Substitution
128045093,3.4.2,Genome resource bank
128045317,3.4.2,Genome resource bank
128045478,1.1,Site/area protection
128045478,3.4.2,Genome resource bank
62157,1.1,Site/area protection
133680,1.1,Site/area protection
133680,2.3,Habitat & natural process restoration
133680,3.4.2,Genome resource bank
133680,2.1,Site/area management
133680,3.4.1,Captive breeding/artificial propagation
133680,3.2,Species recovery
216660498,3.4.2,Genome resource bank
216660498,4.3,Awareness & communications
216660498,2.1,Site/area management
220542633,3.1.1,Harvest management
220542633,3.1.2,Trade management
220542633,3.4.2,Genome resource bank
220542633,3.2,Species recovery
220542633,5.2,Policies and regulations
220542633,5.4.1,International level
220542633,5.4.2,National level
220542633,2.3,Habitat & natural process restoration
220542633,4.3,Awareness & communications
34387,3.4.2,Genome resource bank
36467,3.4.2,Genome resource bank
133268514,3.4.2,Genome resource bank
116868877,1.1,Site/area protection
116868877,3.1.2,Trade management
116868877,3.4.1,Captive breeding/artificial propagation
116868877,4.3,Awareness & communications
116868877,5.1.2,National level
116868877,1.2,Resource & habitat protection
116868877,5.3,Private sector standards & codes
116868877,5.4.2,National level
62114,1.1,Site/area protection
168298050,2.1,Site/area management
22715094,2.1,Site/area management
209447383,1.2,Resource & habitat protection
209447383,2.1,Site/area management
147867061,1.2,Resource & habitat protection
147867061,1.1,Site/area protection
147867061,4.3,Awareness & communications
64563567,2.1,Site/area management
64563567,1.2,Resource & habitat protection
64563567,3.4.1,Captive breeding/artificial propagation
64563567,3.4.2,Genome resource bank
64563567,4.3,Awareness & communications
64563567,5.2,Policies and regulations
110720490,3.4.1,Captive breeding/artificial propagation
110720490,3.4.2,Genome resource bank
158297454,4.2,Training
158297454,4.3,Awareness & communications
158297454,5.1.2,National level
158297454,5.1.3,Sub-national level
158297454,2.2,Invasive/problematic species control
158846068,1.1,Site/area protection
158846068,4.3,Awareness & communications
158846068,1.2,Resource & habitat protection
162640957,2.1,Site/area management
162640957,2.2,Invasive/problematic species control
162641382,2.2,Invasive/problematic species control
886,2.1,Site/area management
886,2.2,Invasive/problematic species control
886,1.1,Site/area protection
886,1.2,Resource & habitat protection
886,2.3,Habitat & natural process restoration
171852462,1.1,Site/area protection
171852462,3.4.1,Captive breeding/artificial propagation
171852462,3.4.2,Genome resource bank
172304523,3.4.2,Genome resource bank
172308275,1.1,Site/area protection
172308275,4.3,Awareness & communications
172308275,2.1,Site/area management
172308275,2.3,Habitat & natural process restoration
172308275,3.4.2,Genome resource bank
196881976,1.1,Site/area protection
196881976,1.2,Resource & habitat protection
205994319,3.4.2,Genome resource bank
205994319,4.3,Awareness & communications
205994319,2.1,Site/area management
214702648,1.1,Site/area protection
214702648,1.2,Resource & habitat protection
216660485,3.4.2,Genome resource bank
216660485,2.1,Site/area management
147862441,1.2,Resource & habitat protection
147862441,1.1,Site/area protection
147865429,3.1.2,Trade management
147865429,3.1.1,Harvest management
147865429,4.3,Awareness & communications
147865429,1.2,Resource & habitat protection
147865429,3.4.1,Captive breeding/artificial propagation
147868811,1.1,Site/area protection
147868811,4.3,Awareness & communications
147868811,1.2,Resource & habitat protection
147868831,1.1,Site/area protection
147868831,1.2,Resource & habitat protection
34397,3.4.2,Genome resource bank
34397,4.3,Awareness & communications
34440,3.4.2,Genome resource bank
36468,3.4.2,Genome resource bank
36470,3.4.2,Genome resource bank
111396209,3.4.1,Captive breeding/artificial propagation
111396209,3.4.2,Genome resource bank
111396209,4.3,Awareness & communications
111396209,1.2,Resource & habitat protection
128048477,3.4.1,Captive breeding/artificial propagation
128048477,3.4.2,Genome resource bank
162640369,1.1,Site/area protection
62075,3.2,Species recovery
62075,1.1,Site/area protection
35815,3.4.2,Genome resource bank
128045992,3.4.2,Genome resource bank
158341,4.2,Training
170328,3.1.1,Harvest management
60320,1.1,Site/area protection
60320,4.3,Awareness & communications
60320,2.1,Site/area management
60383,1.1,Site/area protection
60383,4.3,Awareness & communications
60383,5.4.3,Sub-national level
60383,1.2,Resource & habitat protection
60453,1.2,Resource & habitat protection
60453,2.3,Habitat & natural process restoration
60453,4.3,Awareness & communications
60628,3.1.1,Harvest management
60628,1.1,Site/area protection
60628,4.3,Awareness & communications
60628,5.4.2,National level
60628,2.2,Invasive/problematic species control
60634,2.1,Site/area management
60634,5.4.4,Scale unspecified
60634,4.3,Awareness & communications
60634,6.4,Conservation payments
60746,3.1.1,Harvest management
60746,4.2,Training
60746,5.4.2,National level
60746,2.1,Site/area management
60756,2.1,Site/area management
60756,3.1.1,Harvest management
60756,4.2,Training
60756,5.4.2,National level
61280,1.2,Resource & habitat protection
61280,1.1,Site/area protection
61280,4.3,Awareness & communications
61280,2.3,Habitat & natural process restoration
61289,4.3,Awareness & communications
61289,5.4.3,Sub-national level
61292,4.3,Awareness & communications
61292,1.1,Site/area protection
61292,1.2,Resource & habitat protection
